RutVet,RutCliente,Sala,Horario,Fecha,disp
15.939.571-5,None,1,14:00 - 15:30,06/07/2023,False
15.939.571-5,None,1,11:30 - 13:00,06/07/2023,False
21354784-4,None,1,10:00 - 11:30,06/07/2023,False
24678800-6,None,1,14:00 - 15:30,08/07/2023,False
15939571-5,None,3,11:30 - 13:00,06/07/2023,False
21354784-4,None,1,10:00 - 11:30,12/07/2023,False
21354784-4,None,1,14:00 - 15:30,09/07/2023,True
18821043-K,None,1,10:00 - 11:30,08/07/2023,False
24448886-2,None,1,11:30 - 13:00,08/07/2023,False
24448886-2,None,2,10:00 - 11:30,08/07/2023,False
15939571-5,None,2,11:30 - 13:00,08/07/2023,False
21354784-4,None,1,14:00 - 15:30,10/07/2023,False
18821043-K,10629460-7,2,10:00 - 11:30,09/07/2023,True
21354784-4,None,1,10:00 - 11:30,09/07/2023,False
21354784-4,21454138-6,2,11:30 - 13:00,09/07/2023,True
21212121-k,None,3,10:00 - 11:30,09/07/2023,False
24678800-6,None,2,14:00 - 15:30,09/07/2023,False
